gene,tpm,percentile,status
HSPA1A,3420.0,100.0,HIGH
EEF2,3325.9,100.0,HIGH
TXNIP,2812.71,100.0,HIGH
AHNAK,2747.92,100.0,HIGH
PANX3,2089.51,100.0,HIGH
HSP90AB1,1876.11,100.0,HIGH
RPL36AL,1864.63,100.0,HIGH
DSTN,1702.16,100.0,HIGH
HSPA5,1663.69,100.0,HIGH
SLC25A6,1608.95,100.0,HIGH
HLA-DRA,1534.4,100.0,HIGH
LAPTM4A,1362.88,99.9,HIGH
PSAP,1307.48,99.9,HIGH
LRP1,1276.86,99.9,HIGH
FAT1,1268.49,99.9,HIGH
CD63,1251.24,99.9,HIGH
CTNNB1,1234.28,99.9,HIGH
CD163,1232.18,99.9,HIGH
B2M,1190.75,99.9,HIGH
SUSD5,1130.93,99.9,HIGH
S100A10,1055.34,99.9,HIGH
BNIP3L,1049.75,99.9,HIGH
EDIL3,1035.0,99.9,HIGH
MRC2,995.63,99.9,HIGH
GJA1,991.07,99.9,HIGH
CALR,971.95,99.9,HIGH
CD74,960.56,99.9,HIGH
TMEM123,911.67,99.9,HIGH
NDUFA1,866.27,99.9,HIGH
STT3B,844.08,99.9,HIGH
LIFR,826.76,99.9,HIGH
LMAN1,799.24,99.9,HIGH
KLF9,772.1,99.9,HIGH
MCL1,746.63,99.9,HIGH
SGMS2,730.78,99.9,HIGH
CSDE1,722.96,99.9,HIGH
ITGB1,721.95,99.9,HIGH
RRBP1,708.18,99.9,HIGH
GPNMB,707.23,99.9,HIGH
PTH1R,695.51,99.9,HIGH
SLC38A2,695.33,99.9,HIGH
P4HA1,658.89,99.9,HIGH
GLO1,640.52,99.9,HIGH
BPNT2,632.44,99.8,HIGH
SERINC1,625.17,99.8,HIGH
IL6ST,618.73,99.8,HIGH
ITGA10,616.08,99.8,HIGH
PTTG1IP,608.9,99.8,HIGH
CALU,607.53,99.8,HIGH
EPB41L2,607.26,99.8,HIGH
TGFBR2,604.84,99.8,HIGH
PTPN12,604.71,99.8,HIGH
ATP2B1,601.51,99.8,HIGH
CANX,585.6,99.8,HIGH
GOLIM4,584.48,99.8,HIGH
TMEM119,581.85,99.8,HIGH
LPAR1,565.64,99.8,HIGH
GDI2,564.35,99.8,HIGH
OSBPL8,558.98,99.8,HIGH
DDX17,555.63,99.8,HIGH
IGHA1,553.94,99.8,HIGH
HNRNPA2B1,552.8,99.8,HIGH
PDIA4,549.81,99.8,HIGH
APP,548.25,99.8,HIGH
TRAM1,542.26,99.8,HIGH
CEMIP2,540.48,99.8,HIGH
TGFBR1,534.63,99.8,HIGH
APLP2,531.04,99.8,HIGH
SYPL1,528.18,99.8,HIGH
HTRA1,515.88,99.7,HIGH
DAB2,515.55,99.7,HIGH
EDNRA,514.22,99.7,HIGH
TLN1,511.85,99.7,HIGH
DIO2,511.66,99.7,HIGH
MRC1,499.45,99.7,HIGH
