gene,drug,score,source
CD9,DESIPRAMINE,0.0304,SURFACE
CD9,MILNACIPRAN,0.1695,SURFACE
CD9,"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",0.0475,SURFACE
CD9,TYROSINE KINASE INHIBITOR,0.0913,SURFACE
CD9,DOXEPIN HYDROCHLORIDE,0.027,SURFACE
CD9,NORZOTEPINE,0.5932,SURFACE
CD9,VILAZODONE HYDROCHLORIDE,0.1186,SURFACE
CD9,THERAPEUTIC ANDROGEN,0.1396,SURFACE
CD9,DESVENLAFAXINE SUCCINATE,0.1483,SURFACE
CD9,LEVOMILNACIPRAN,0.1977,SURFACE
CD9,SIBUTRAMINE,0.1318,SURFACE
CD9,PROTRIPTYLINE,0.1318,SURFACE
CD9,PHENELZINE,0.0847,SURFACE
CD9,DOTHIEPIN,0.1186,SURFACE
CD9,SERTRALINE HYDROCHLORIDE,0.0593,SURFACE
CD9,RECOMBINANT EOTAXIN,0.3955,SURFACE
CD9,FLUOXETINE HYDROCHLORIDE,0.0424,SURFACE
CD9,VENLAFAXINE,0.0989,SURFACE
CD9,IL-5,0.4746,SURFACE
CD9,IBOGAINE,1.1864,SURFACE
CD9,[3H]PAROXETINE,1.1864,SURFACE
CD9,FLUVOXAMINE,0.0913,SURFACE
CD9,AMITRIPTYLINE HYDROCHLORIDE,0.0264,SURFACE
CD9,ZOTEPINE,0.0742,SURFACE
CD9,LOFEPRAMINE,0.2966,SURFACE
CD9,TRIMIPRAMINE,0.036,SURFACE
CD9,DAPOXETINE,0.5932,SURFACE
CD9,CITALOPRAM,0.0339,SURFACE
CD9,THERAPEUTIC STEROID HORMONE,0.2966,SURFACE
CD9,TOLUDESVENLAFAXINE,0.3955,SURFACE
CD9,ATOMOXETINE HYDROCHLORIDE,0.1483,SURFACE
CD9,VORTIOXETINE HYDROBROMIDE,0.0913,SURFACE
CD9,NORTRIPTYLINE,0.0371,SURFACE
CD9,DULOXETINE HYDROCHLORIDE,0.0456,SURFACE
CD9,HERBIMYCIN A,0.2966,SURFACE
CD9,LIF,0.2966,SURFACE
CD9,NEFAZODONE,0.0847,SURFACE
CD9,PROPIONIBACTERIUM ACNES,1.1864,SURFACE
CD9,ZIPRASIDONE,0.0383,SURFACE
CD9,IMIPRAMINE HYDROCHLORIDE,0.0593,SURFACE
CD9,AMOXAPINE,0.0791,SURFACE
CD9,CLOMIPRAMINE,0.0312,SURFACE
CD9,RECOMBINANT INTERLEUKIN-16,2.3729,SURFACE
CD9,LUMATEPERONE,0.1695,SURFACE
CDKN2A,RIBOCICLIB,0.5179,DRIVER
CDKN2A,PACLITAXEL,0.0339,DRIVER
CDKN2A,ULIXERTINIB,0.3729,DRIVER
CDKN2A,ALVOCIDIB,0.1776,DRIVER
CDKN2A,PF-04691502,0.3107,DRIVER
CDKN2A,ILORASERTIB,0.0161,DRIVER
CDKN2A,VEMURAFENIB,0.2016,DRIVER
CDKN2A,RONICICLIB,0.0666,DRIVER
CDKN2A,CETUXIMAB,0.1008,DRIVER
CDKN2A,SAPANISERTIB,0.1621,DRIVER
CDKN2A,TEMOZOLOMIDE,0.1776,DRIVER
CDKN2A,PF-00477736,0.9322,DRIVER
CDKN2A,HMN-214,1.8644,DRIVER
CDKN2A,MILCICLIB,0.339,DRIVER
CDKN2A,POLO-LIKE KINASE 1 INHIBITOR GSK461364,1.8644,DRIVER
CDKN2A,COBIMETINIB,0.1963,DRIVER
CDKN2A,GEMCITABINE,0.0405,DRIVER
CDKN2A,PANITUMUMAB,0.0932,DRIVER
CDKN2A,BUPARLISIB,0.1492,DRIVER
CDKN2A,"(10R)-10-METHYL-3-(6-METHYLPYRIDIN-3-YL)-9,10,11,12-TETRAHYDRO-8H-[1,4]DIAZEPINO[5',6':4,5]THIENO[3,2-F]QUINOLIN-8-ONE",1.2429,DRIVER
CDKN2A,SIROLIMUS,0.0643,DRIVER
CDKN2A,CARBOPLATIN,0.0434,DRIVER
CDKN2A,PALBOCICLIB,1.0236,DRIVER
CDKN2A,EVEROLIMUS,0.1097,DRIVER
CDKN2A,LETROZOLE,0.1036,DRIVER
CDKN2A,TRAMETINIB DIMETHYL SULFOXIDE,0.2777,DRIVER
CDKN2A,DABRAFENIB,0.2762,DRIVER
CDKN2A,ABEMACICLIB,0.785,DRIVER
ADAM10,GI254023X,1.6314,SURFACE
ADAM10,MARIMASTAT,0.435,SURFACE
ADAM10,ILOMASTAT,0.1305,SURFACE
ADAM10,2-OLEOYL-LPA,0.8157,SURFACE
ADAM10,COMPOUND 83 [PMID: 23888932],3.2627,SURFACE
ADAM10,INCB7839,1.6314,SURFACE
ADAM10,CXCL17,3.2627,SURFACE
ADAM10,ADERBASIB,1.6314,SURFACE
ADAM10,CID2745687,1.0876,SURFACE
ADAM10,ZAPRINAST,0.251,SURFACE
ADAM10,FUROSEMIDE,0.1813,SURFACE
ADAM10,KYNURENIC ACID,0.8157,SURFACE
ADAM10,PAMOIC ACID,1.6314,SURFACE
ADAM10,LODOXAMIDE TROMETHAMINE,3.2627,SURFACE
ADAM10,COMPOUND 25 [PMID: 18068976],3.2627,SURFACE
ADAM10,BUMETANIDE,0.1813,SURFACE
ABCA1,MRS1066,0.502,SURFACE
ABCA1,PBF-509,0.251,SURFACE
ABCA1,CYCLOSPORINE,0.0115,SURFACE
ABCA1,"4-{2-[(7-AMINO-2-FURAN-2-YL[1,2,4]TRIAZOLO[1,5-A][1,3,5]TRIAZIN-5-YL)AMINO]ETHYL}PHENOL",0.1004,SURFACE
ABCA1,MRS1084,0.502,SURFACE
ABCA1,PRELADENANT,0.1004,SURFACE
ABCA1,MRE 3008F20,0.1255,SURFACE
ABCA1,FK-453,0.1004,SURFACE
ABCA1,CPX,0.251,SURFACE
ABCA1,METRIFUDIL,0.502,SURFACE
ABCA1,SCH 58261,0.0717,SURFACE
ABCA1,MRS1065,0.502,SURFACE
ABCA1,BIHELICAL APOA-I MIMETIC PEPTIDE 5A,0.502,SURFACE
ABCA1,MRS923,0.502,SURFACE
ABCA1,CVT-6883,0.0456,SURFACE
ABCA1,NECA,0.0558,SURFACE
ABCA1,MRS1191,0.1255,SURFACE
ABCA1,LAS38096,0.0456,SURFACE
ABCA1,FLAVONE,0.0837,SURFACE
ABCA1,CCPA,0.1255,SURFACE
ABCA1,MRS1088,0.251,SURFACE
ABCA1,2-CHLOROADENOSINE,0.0456,SURFACE
ABCA1,"(R,S)-PHPNECA",0.1673,SURFACE
ABCA1,VISNAGIN,0.1673,SURFACE
ABCA1,APNEA,0.251,SURFACE
ABCA1,CGS 21680,0.0717,SURFACE
ABCA1,GR79236,0.502,SURFACE
