GENE_SYMBOL,NAME,COSMIC_GENE_ID,CHROMOSOME,GENOME_START,GENOME_STOP,CHR_BAND,SOMATIC,GERMLINE,TUMOUR_TYPES_SOMATIC,TUMOUR_TYPES_GERMLINE,CANCER_SYNDROME,TISSUE_TYPE,MOLECULAR_GENETICS,ROLE_IN_CANCER,MUTATION_TYPES,TRANSLOCATION_PARTNER,OTHER_GERMLINE_MUT,OTHER_SYNDROME,TIER,SYNONYMS
ABI1,abl interactor 1,COSG100962,10,26746593.0,26861087.0,10p12.1,y,n,AML,,,L,Dom,"TSG, fusion",T,KMT2A,n,,1,"ABI1,ENSG00000136754.17,Q8IZP0,10006,ABI-1,E3B1"
AFDN,"afadin, adherens junction formation factor",COSG74504,6,167826922.0,167972023.0,6q27,y,n,AL,,,L,Dom,"oncogene, fusion",T,KMT2A,n,,1,"AFDN,ENSG00000130396.20,4301,AF-6,AF6"
ARHGEF12,Rho guanine nucleotide exchange factor 12,COSG109622,11,120336914.0,120489936.0,11q23.3,y,n,AML,,,L,Dom,"TSG, fusion",T,KMT2A,n,,1,"ARHGEF12,ENSG00000196914.8,Q9NZN5,23365,KIAA0382,LARG"
ATRX,"ATRX, chromatin remodeler",COSG106026,X,77504878.0,77786269.0,Xq21.1,y,n,"pancreatic neuroendocrine tumours, paediatric GBM",,,E,Rec,TSG,"Mis, F, N",,y,ATR-X (alpha thalassemia/mental retardation) syndrome,1,"ATRX,ENSG00000085224.21,P46100,546,XH2,XNP"
B2M,beta-2-microglobulin,COSG79234,15,44711477.0,44718877.0,15q21.1,y,n,"DLBCL, melanoma, colorectal adenocarcinoma",,,"E, L",Rec,TSG,"Mis, N, F",,y,Immunodeficiency 43,1,"B2M,ENSG00000166710.17,P61769,567"
CALR,calreticulin,COSG80775,19,12938578.0,12944489.0,19p13.13,y,n,"MPN, MDS",,,L,Dom,oncogene,"F, Mis",,n,,1,"CALR,ENSG00000179218.13,P27797,811,CRT,FLJ26680,RO,SSA,cC1qR"
CD74,CD74 molecule,COSG107983,5,150401637.0,150412929.0,5q33.1,y,n,NSCLC,,,E,Dom,"oncogene, fusion",T,"ROS1, NRG1",n,,1,"CD74,ENSG00000019582.14,P04233,972"
CDKN2A,cyclin dependent kinase inhibitor 2A,COSG84244,9,21967753.0,21995301.0,9p21.3,y,y,"melanoma, multiple other tumour types","melanoma, pancreatic",familial malignant melanoma,"L, E, M, O",Rec,TSG,"D, Mis, N, F, S",,n,,1,"CDKN2A,ENSG00000147889.17,P42771,1029,ARF,CDK4I,CMM2,INK4,INK4a,MTS1,p14,p14ARF,p16,p16INK4a,p19,p19Arf"
CNTRL,centriolin,COSG105745,9,121074863.0,121177610.0,9q33.2,y,n,"MPN, NHL",,,L,Dom,fusion,T,FGFR1,n,,1,"CNTRL,ENSG00000119397.16,Q7Z7A1,11064"
CREB3L2,cAMP responsive element binding protein 3 like 2,COSG70393,7,137874979.0,138002067.0,7q33,y,n,fibromyxoid sarcoma,,,M,Dom,"oncogene, fusion",T,FUS,n,,1,"CREB3L2,ENSG00000182158.14,Q70SY1,64764,BBF2H7,TCAG_1951439"
CSF1R,colony stimulating factor 1 receptor,COSG99554,5,150053291.0,150113372.0,5q32,y,n,"MDS, CML, AML, hemangioblastoma, CCRCC",,,"L, M, E",,oncogene,"Mis, N",,y,diffuse leukoencephalopathy with spheroids,2,"CSF1R,ENSG00000182578.13,P07333,1436,C-FMS,CD115,CSFR"
CTNNA1,catenin alpha 1,COSG89685,5,138610967.0,138935034.0,5q31.2,y,y,"AML, MDS, cutaneous melanoma",gastric cancer,Hereditary Diffuse Gastric Cancer Syndrome,"E, L",,"TSG, fusion","D, Mis, N, T",RAF1,n,,2,"CTNNA1,ENSG00000044115.20,P35221,1495,CAP102"
CTNNB1,catenin beta 1,COSG100985,3,41194741.0,41260096.0,3p22.1,y,n,"colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types",,,"E, M, O",Dom,"oncogene, fusion","Mis, O, T",PLAG1,n,,1,"CTNNB1,ENSG00000168036.17,1499,armadillo,beta-catenin"
DDX3X,DEAD-box helicase 3 X-linked,COSG92927,X,41333284.0,41364472.0,Xp11.4,y,n,"CLL, medulloblastoma",,,"L, O",,TSG,"Mis, N, F",,y,"Mental retardation, X-linked 102",1,"DDX3X,ENSG00000215301.10,1654,DBX,DDX14,HLP2"
DDX6,DEAD-box helicase 6,COSG88326,11,118747766.0,118791149.0,11q23.3,y,n,B-NHL,,,L,Dom,"oncogene, fusion",T,IGH,n,,1,"DDX6,ENSG00000110367.11,P26196,1656,RCK"
EIF3E,eukaryotic translation initiation factor 3 subunit E,COSG72882,8,108201216.0,108435333.0,8q23.1,y,n,colorectal,,,E,Dom,"TSG, fusion",T,RSPO3,n,,1,"EIF3E,ENSG00000104408.9,P60228,3646,eIF3-p48,eIF3e"
EZR,ezrin,COSG78273,6,158765741.0,158819412.0,6q25.3,y,n,NSCLC,,,E,Dom,fusion,T,ROS1,n,,1,"EZR,ENSG00000092820.17,P15311,7430"
FAT1,FAT atypical cadherin 1,COSG73476,4,186587783.0,186726722.0,4q35.2,y,y,"oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma",pancreatic,,"E, L",,TSG,"Mis, N, F, S",,n,,1,"FAT1,ENSG00000083857.13,Q14517,2195,CDHF7,CDHR8"
FAT3,FAT atypical cadherin 3,COSG114528,11,92352096.0,92896470.0,11q14.3,y,n,"SCC, colon adenocarcinoma, gastric adenocarcinoma",,,E,,,Mis,,n,,2,"FAT3,ENSG00000165323.15,120114,CDHF15,CDHR10,KIAA1989"
FAT4,FAT atypical cadherin 4,COSG107228,4,125316399.0,125492932.0,4q28.1,y,n,"lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma",,,"E, L",,TSG,"Mis, N",,y,"Hennekam lymphangiectasia-lymphedema syndrome 2, Van Maldergem syndrome 2 ",1,"FAT4,ENSG00000196159.11,Q6V0I7,79633,CDHF14,CDHR11,FAT-J"
FLNA,filamin A,COSG74753,X,154348524.0,154374638.0,Xq28,y,n,phyllodes tumour of the breast,,,E,,,"Mis, F, O",,n,,2,"FLNA,ENSG00000196924.15,P21333,2316,ABP-280"
GNAS,GNAS complex locus,COSG82860,20,58839718.0,58911192.0,20q13.32,y,n,"pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia",,,"E, M",Dom,oncogene,Mis,,y,"McCune-Albright syndrome; pseudohypoparathyroidism, type IA",1,"GNAS,ENSG00000087460.24,Q5JWF2,2778,GNASXL,GPSA,NESP,NESP55,SCG6,SgVI"
GOLGA5,golgin A5,COSG65089,14,92794231.0,92839963.0,14q32.12,y,n,"papillary thyroid, Spitzoid tumour",,,E,Dom,fusion,T,RET,n,,1,"GOLGA5,ENSG00000066455.12,Q8TBA6,9950,GOLIM5,golgin-84,ret-II,rfg5"
HERPUD1,homocysteine inducible ER protein with ubiquitin like domain 1,COSG102009,16,56932048.0,56944863.0,16q13,y,n,prostate,,,E,Dom,fusion,T,ERG,n,,1,"HERPUD1,ENSG00000051108.14,Q15011,9709,HERP,KIAA0025,Mif1,SUP"
HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,COSG88183,7,26189927.0,26201529.0,7p15.2,y,n,prostate,,,E,Dom,"oncogene, fusion",T,ETV1,n,,1,"HNRNPA2B1,ENSG00000122566.20,P22626,3181"
